,YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,ConditionType,Category,Cause_of_Death,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Alt,Data_Value_Footnote_Symbol,Data_Value_Footnote,Effect,ConsumptionPattern,Sex,AgeCategory,AgeGroup,LocationID,ConditionTypeID,CategoryID,Cause_of_DeathID,EffectID,ConsumptionID,SexID,AgeCategoryID,AgeGroupID,DataValueTypeID,DataValueUnitId
14315,2015,2019,GA,Georgia,ARDI,Chronic,Heart Disease and Stroke,"Stroke, ischemic",Alcohol-attributable deaths,5 years average,13,13.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,65+,13,CHRONIC,CAT3,STRISC,HARMEFF,ANYALC,GENALL,OTH,Age5,AAD,5YEARSAVG
14316,2015,2019,GA,Georgia,ARDI,Chronic,Heart Disease and Stroke,"Stroke, ischemic",Alcohol-attributable deaths,5 years average,16,16.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,Overall,13,CHRONIC,CAT3,STRISC,HARMEFF,ANYALC,GENALL,OTH,Age0,AAD,5YEARSAVG
14351,2015,2019,GA,Georgia,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",Alcohol-attributable deaths,5 years average,140,140.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,50-64,13,CHRONIC,CAT4,LIVCIR,HARMEFF,ANYALC,GENALL,OTH,Age4,AAD,5YEARSAVG
14352,2015,2019,GA,Georgia,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",Alcohol-attributable deaths,5 years average,152,152.0,,,Harmful Effects,Any Alcohol Use,Female,Other,Overall,13,CHRONIC,CAT4,LIVCIR,HARMEFF,ANYALC,GENF,OTH,Age0,AAD,5YEARSAVG
14353,2015,2019,GA,Georgia,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",Alcohol-attributable deaths,5 years average,177,177.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,65+,13,CHRONIC,CAT4,LIVCIR,HARMEFF,ANYALC,GENALL,OTH,Age5,AAD,5YEARSAVG
14354,2015,2019,GA,Georgia,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",Alcohol-attributable deaths,5 years average,199,199.0,,,Harmful Effects,Any Alcohol Use,Male,Other,Overall,13,CHRONIC,CAT4,LIVCIR,HARMEFF,ANYALC,GENM,OTH,Age0,AAD,5YEARSAVG
14355,2015,2019,GA,Georgia,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",Alcohol-attributable deaths,5 years average,31,31.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,35-49,13,CHRONIC,CAT4,LIVCIR,HARMEFF,ANYALC,GENALL,OTH,Age3,AAD,5YEARSAVG
14356,2015,2019,GA,Georgia,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",Alcohol-attributable deaths,5 years average,351,351.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,Overall,13,CHRONIC,CAT4,LIVCIR,HARMEFF,ANYALC,GENALL,OTH,Age0,AAD,5YEARSAVG
14364,2015,2019,GA,Georgia,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Pancreatitis, acute",Alcohol-attributable deaths,5 years average,10,10.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,Overall,13,CHRONIC,CAT4,ACUPAN,HARMEFF,ANYALC,GENALL,OTH,Age0,AAD,5YEARSAVG
14420,2015,2019,GA,Georgia,ARDI,Chronic,Other Chronic Causes,Pneumonia,Alcohol-attributable deaths,5 years average,12,12.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,50-64,13,CHRONIC,CAT5,PNEUMO,HARMEFF,ANYALC,GENALL,OTH,Age4,AAD,5YEARSAVG
14421,2015,2019,GA,Georgia,ARDI,Chronic,Other Chronic Causes,Pneumonia,Alcohol-attributable deaths,5 years average,16,16.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,Overall,13,CHRONIC,CAT5,PNEUMO,HARMEFF,ANYALC,GENALL,OTH,Age0,AAD,5YEARSAVG
14429,2015,2019,GA,Georgia,ARDI,Chronic,Other Chronic Causes,"Unprovoked seizures, epilepsy, or seizure disorder",Alcohol-attributable deaths,5 years average,19,19.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,Overall,13,CHRONIC,CAT5,SEIZUR,HARMEFF,ANYALC,GENALL,OTH,Age0,AAD,5YEARSAVG
14504,2015,2019,HI,Hawaii,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,14,14.0,,,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall,15,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENF,OTH,Age0,AAD,5YEARSAVG
14505,2015,2019,HI,Hawaii,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,17,17.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49,15,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENALL,OTH,Age3,AAD,5YEARSAVG
14506,2015,2019,HI,Hawaii,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,24,24.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,15,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
14507,2015,2019,HI,Hawaii,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,40,40.0,,,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall,15,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENM,OTH,Age0,AAD,5YEARSAVG
14508,2015,2019,HI,Hawaii,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,54,54.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,ACUTE,CAT6,OTHPOI,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
14515,2015,2019,HI,Hawaii,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,11,11.0,,,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall,15,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENF,OTH,Age0,AAD,5YEARSAVG
14516,2015,2019,HI,Hawaii,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,11,11.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49,15,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,OTH,Age3,AAD,5YEARSAVG
14517,2015,2019,HI,Hawaii,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,17,17.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34,15,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,OTH,Age2,AAD,5YEARSAVG
14518,2015,2019,HI,Hawaii,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,34,34.0,,,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall,15,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENM,OTH,Age0,AAD,5YEARSAVG
14519,2015,2019,HI,Hawaii,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,46,46.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,ACUTE,CAT7,MTVTRA,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
14564,2015,2019,HI,Hawaii,ARDI,Acute,Other Acute Causes,Drowning,Alcohol-attributable deaths,5 years average,15,15.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,ACUTE,CAT9,DROWNI,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
14575,2015,2019,HI,Hawaii,ARDI,Acute,Other Acute Causes,Fall injuries,Alcohol-attributable deaths,5 years average,12,12.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,ACUTE,CAT9,FALLIN,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
14608,2015,2019,HI,Hawaii,ARDI,Acute,Other Acute Causes,Homicide,Alcohol-attributable deaths,5 years average,16,16.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,ACUTE,CAT9,HOMICI,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
14669,2015,2019,HI,Hawaii,ARDI,Acute,Suicide,Suicide,Alcohol-attributable deaths,5 years average,10,10.0,,,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall,15,ACUTE,CAT8,SUICID,HARMEFF,EXCSVE,GENF,OTH,Age0,AAD,5YEARSAVG
14670,2015,2019,HI,Hawaii,ARDI,Acute,Suicide,Suicide,Alcohol-attributable deaths,5 years average,11,11.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49,15,ACUTE,CAT8,SUICID,HARMEFF,EXCSVE,GENALL,OTH,Age3,AAD,5YEARSAVG
14671,2015,2019,HI,Hawaii,ARDI,Acute,Suicide,Suicide,Alcohol-attributable deaths,5 years average,12,12.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,15,ACUTE,CAT8,SUICID,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
14672,2015,2019,HI,Hawaii,ARDI,Acute,Suicide,Suicide,Alcohol-attributable deaths,5 years average,14,14.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,20-34,15,ACUTE,CAT8,SUICID,HARMEFF,EXCSVE,GENALL,OTH,Age2,AAD,5YEARSAVG
14673,2015,2019,HI,Hawaii,ARDI,Acute,Suicide,Suicide,Alcohol-attributable deaths,5 years average,38,38.0,,,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall,15,ACUTE,CAT8,SUICID,HARMEFF,EXCSVE,GENM,OTH,Age0,AAD,5YEARSAVG
14674,2015,2019,HI,Hawaii,ARDI,Acute,Suicide,Suicide,Alcohol-attributable deaths,5 years average,48,48.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,ACUTE,CAT8,SUICID,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
14717,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcohol dependence syndrome,Alcohol-attributable deaths,5 years average,10,10.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,15,CHRONIC,CAT1,ALCDSY,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
14718,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcohol dependence syndrome,Alcohol-attributable deaths,5 years average,19,19.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,CHRONIC,CAT1,ALCDSY,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
14768,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,Alcohol-attributable deaths,5 years average,12,12.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,35-49,15,CHRONIC,CAT1,ALCLID,HARMEFF,EXCSVE,GENALL,OTH,Age3,AAD,5YEARSAVG
14769,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,Alcohol-attributable deaths,5 years average,13,13.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,15,CHRONIC,CAT1,ALCLID,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
14770,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,Alcohol-attributable deaths,5 years average,14,14.0,,,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall,15,CHRONIC,CAT1,ALCLID,HARMEFF,EXCSVE,GENF,OTH,Age0,AAD,5YEARSAVG
14771,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,Alcohol-attributable deaths,5 years average,27,27.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,15,CHRONIC,CAT1,ALCLID,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
14772,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,Alcohol-attributable deaths,5 years average,41,41.0,,,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall,15,CHRONIC,CAT1,ALCLID,HARMEFF,EXCSVE,GENM,OTH,Age0,AAD,5YEARSAVG
14773,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,Alcohol-attributable deaths,5 years average,54,54.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,CHRONIC,CAT1,ALCLID,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
14850,2015,2019,HI,Hawaii,ARDI,Chronic,Cancer,"Cancer, colorectal",Alcohol-attributable deaths,5 years average,12,12.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,CHRONIC,CAT2,CANCOL,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
14882,2015,2019,HI,Hawaii,ARDI,Chronic,Cancer,"Cancer, liver",Alcohol-attributable deaths,5 years average,18,18.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,15,CHRONIC,CAT2,CANLIV,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
14883,2015,2019,HI,Hawaii,ARDI,Chronic,Cancer,"Cancer, liver",Alcohol-attributable deaths,5 years average,28,28.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,CHRONIC,CAT2,CANLIV,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
14894,2015,2019,HI,Hawaii,ARDI,Chronic,Cancer,"Cancer, oral cavity and pharyngeal",Alcohol-attributable deaths,5 years average,11,11.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,CHRONIC,CAT2,CANOCP,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
14949,2015,2019,HI,Hawaii,ARDI,Chronic,Heart Disease and Stroke,Coronary heart disease,Alcohol-attributable deaths,5 years average,28,28.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,15,CHRONIC,CAT3,ISCHTD,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
14950,2015,2019,HI,Hawaii,ARDI,Chronic,Heart Disease and Stroke,Coronary heart disease,Alcohol-attributable deaths,5 years average,36,36.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,CHRONIC,CAT3,ISCHTD,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
14958,2015,2019,HI,Hawaii,ARDI,Chronic,Heart Disease and Stroke,Hypertension,Alcohol-attributable deaths,5 years average,25,25.0,,,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall,15,CHRONIC,CAT3,HYPERT,HARMEFF,EXCSVE,GENF,OTH,Age0,AAD,5YEARSAVG
14959,2015,2019,HI,Hawaii,ARDI,Chronic,Heart Disease and Stroke,Hypertension,Alcohol-attributable deaths,5 years average,25,25.0,,,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall,15,CHRONIC,CAT3,HYPERT,HARMEFF,EXCSVE,GENM,OTH,Age0,AAD,5YEARSAVG
14960,2015,2019,HI,Hawaii,ARDI,Chronic,Heart Disease and Stroke,Hypertension,Alcohol-attributable deaths,5 years average,37,37.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,15,CHRONIC,CAT3,HYPERT,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
14961,2015,2019,HI,Hawaii,ARDI,Chronic,Heart Disease and Stroke,Hypertension,Alcohol-attributable deaths,5 years average,51,51.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,CHRONIC,CAT3,HYPERT,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
14972,2015,2019,HI,Hawaii,ARDI,Chronic,Heart Disease and Stroke,"Stroke, hemorrhagic",Alcohol-attributable deaths,5 years average,15,15.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,CHRONIC,CAT3,STRHEM,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
14982,2015,2019,HI,Hawaii,ARDI,Chronic,Heart Disease and Stroke,"Stroke, ischemic",Alcohol-attributable deaths,5 years average,11,11.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,15,CHRONIC,CAT3,STRISC,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
14983,2015,2019,HI,Hawaii,ARDI,Chronic,Heart Disease and Stroke,"Stroke, ischemic",Alcohol-attributable deaths,5 years average,12,12.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,CHRONIC,CAT3,STRISC,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
15035,2015,2019,HI,Hawaii,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",Alcohol-attributable deaths,5 years average,14,14.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,50-64,15,CHRONIC,CAT4,LIVCIR,HARMEFF,EXCSVE,GENALL,OTH,Age4,AAD,5YEARSAVG
15036,2015,2019,HI,Hawaii,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",Alcohol-attributable deaths,5 years average,17,17.0,,,Harmful Effects,Excessive Alcohol Use,Female,Other,Overall,15,CHRONIC,CAT4,LIVCIR,HARMEFF,EXCSVE,GENF,OTH,Age0,AAD,5YEARSAVG
15037,2015,2019,HI,Hawaii,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",Alcohol-attributable deaths,5 years average,22,22.0,,,Harmful Effects,Excessive Alcohol Use,Male,Other,Overall,15,CHRONIC,CAT4,LIVCIR,HARMEFF,EXCSVE,GENM,OTH,Age0,AAD,5YEARSAVG
15038,2015,2019,HI,Hawaii,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",Alcohol-attributable deaths,5 years average,22,22.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,65+,15,CHRONIC,CAT4,LIVCIR,HARMEFF,EXCSVE,GENALL,OTH,Age5,AAD,5YEARSAVG
15039,2015,2019,HI,Hawaii,ARDI,Chronic,"Liver, Gallbladder, and Pancreas","Liver cirrhosis, unspecified",Alcohol-attributable deaths,5 years average,39,39.0,,,Harmful Effects,Excessive Alcohol Use,Overall,Other,Overall,15,CHRONIC,CAT4,LIVCIR,HARMEFF,EXCSVE,GENALL,OTH,Age0,AAD,5YEARSAVG
15151,2015,2019,HI,Hawaii,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,14,14.0,,,Harmful Effects,Any Alcohol Use,Female,Other,Overall,15,ACUTE,CAT6,OTHPOI,HARMEFF,ANYALC,GENF,OTH,Age0,AAD,5YEARSAVG
15152,2015,2019,HI,Hawaii,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,17,17.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,35-49,15,ACUTE,CAT6,OTHPOI,HARMEFF,ANYALC,GENALL,OTH,Age3,AAD,5YEARSAVG
15153,2015,2019,HI,Hawaii,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,24,24.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,50-64,15,ACUTE,CAT6,OTHPOI,HARMEFF,ANYALC,GENALL,OTH,Age4,AAD,5YEARSAVG
15154,2015,2019,HI,Hawaii,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,40,40.0,,,Harmful Effects,Any Alcohol Use,Male,Other,Overall,15,ACUTE,CAT6,OTHPOI,HARMEFF,ANYALC,GENM,OTH,Age0,AAD,5YEARSAVG
15155,2015,2019,HI,Hawaii,ARDI,Acute,Alcohol-Related Poisonings,Poisoning (not alcohol),Alcohol-attributable deaths,5 years average,54,54.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,Overall,15,ACUTE,CAT6,OTHPOI,HARMEFF,ANYALC,GENALL,OTH,Age0,AAD,5YEARSAVG
15159,2015,2019,HI,Hawaii,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,11,11.0,,,Harmful Effects,Any Alcohol Use,Female,Other,Overall,15,ACUTE,CAT7,MTVTRA,HARMEFF,ANYALC,GENF,OTH,Age0,AAD,5YEARSAVG
15160,2015,2019,HI,Hawaii,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,11,11.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,35-49,15,ACUTE,CAT7,MTVTRA,HARMEFF,ANYALC,GENALL,OTH,Age3,AAD,5YEARSAVG
15161,2015,2019,HI,Hawaii,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,17,17.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,20-34,15,ACUTE,CAT7,MTVTRA,HARMEFF,ANYALC,GENALL,OTH,Age2,AAD,5YEARSAVG
15162,2015,2019,HI,Hawaii,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,34,34.0,,,Harmful Effects,Any Alcohol Use,Male,Other,Overall,15,ACUTE,CAT7,MTVTRA,HARMEFF,ANYALC,GENM,OTH,Age0,AAD,5YEARSAVG
15163,2015,2019,HI,Hawaii,ARDI,Acute,Motor Vehicle Traffic Crashes,Motor vehicle traffic crashes,Alcohol-attributable deaths,5 years average,46,46.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,Overall,15,ACUTE,CAT7,MTVTRA,HARMEFF,ANYALC,GENALL,OTH,Age0,AAD,5YEARSAVG
15195,2015,2019,HI,Hawaii,ARDI,Acute,Other Acute Causes,Drowning,Alcohol-attributable deaths,5 years average,15,15.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,Overall,15,ACUTE,CAT9,DROWNI,HARMEFF,ANYALC,GENALL,OTH,Age0,AAD,5YEARSAVG
15203,2015,2019,HI,Hawaii,ARDI,Acute,Other Acute Causes,Fall injuries,Alcohol-attributable deaths,5 years average,12,12.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,Overall,15,ACUTE,CAT9,FALLIN,HARMEFF,ANYALC,GENALL,OTH,Age0,AAD,5YEARSAVG
15227,2015,2019,HI,Hawaii,ARDI,Acute,Other Acute Causes,Homicide,Alcohol-attributable deaths,5 years average,16,16.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,Overall,15,ACUTE,CAT9,HOMICI,HARMEFF,ANYALC,GENALL,OTH,Age0,AAD,5YEARSAVG
15270,2015,2019,HI,Hawaii,ARDI,Acute,Suicide,Suicide,Alcohol-attributable deaths,5 years average,10,10.0,,,Harmful Effects,Any Alcohol Use,Female,Other,Overall,15,ACUTE,CAT8,SUICID,HARMEFF,ANYALC,GENF,OTH,Age0,AAD,5YEARSAVG
15271,2015,2019,HI,Hawaii,ARDI,Acute,Suicide,Suicide,Alcohol-attributable deaths,5 years average,11,11.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,35-49,15,ACUTE,CAT8,SUICID,HARMEFF,ANYALC,GENALL,OTH,Age3,AAD,5YEARSAVG
15272,2015,2019,HI,Hawaii,ARDI,Acute,Suicide,Suicide,Alcohol-attributable deaths,5 years average,12,12.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,50-64,15,ACUTE,CAT8,SUICID,HARMEFF,ANYALC,GENALL,OTH,Age4,AAD,5YEARSAVG
15273,2015,2019,HI,Hawaii,ARDI,Acute,Suicide,Suicide,Alcohol-attributable deaths,5 years average,14,14.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,20-34,15,ACUTE,CAT8,SUICID,HARMEFF,ANYALC,GENALL,OTH,Age2,AAD,5YEARSAVG
15274,2015,2019,HI,Hawaii,ARDI,Acute,Suicide,Suicide,Alcohol-attributable deaths,5 years average,38,38.0,,,Harmful Effects,Any Alcohol Use,Male,Other,Overall,15,ACUTE,CAT8,SUICID,HARMEFF,ANYALC,GENM,OTH,Age0,AAD,5YEARSAVG
15275,2015,2019,HI,Hawaii,ARDI,Acute,Suicide,Suicide,Alcohol-attributable deaths,5 years average,48,48.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,Overall,15,ACUTE,CAT8,SUICID,HARMEFF,ANYALC,GENALL,OTH,Age0,AAD,5YEARSAVG
15306,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcohol dependence syndrome,Alcohol-attributable deaths,5 years average,10,10.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,50-64,15,CHRONIC,CAT1,ALCDSY,HARMEFF,ANYALC,GENALL,OTH,Age4,AAD,5YEARSAVG
15307,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcohol dependence syndrome,Alcohol-attributable deaths,5 years average,19,19.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,Overall,15,CHRONIC,CAT1,ALCDSY,HARMEFF,ANYALC,GENALL,OTH,Age0,AAD,5YEARSAVG
15342,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,Alcohol-attributable deaths,5 years average,12,12.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,35-49,15,CHRONIC,CAT1,ALCLID,HARMEFF,ANYALC,GENALL,OTH,Age3,AAD,5YEARSAVG
15343,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,Alcohol-attributable deaths,5 years average,13,13.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,65+,15,CHRONIC,CAT1,ALCLID,HARMEFF,ANYALC,GENALL,OTH,Age5,AAD,5YEARSAVG
15344,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,Alcohol-attributable deaths,5 years average,14,14.0,,,Harmful Effects,Any Alcohol Use,Female,Other,Overall,15,CHRONIC,CAT1,ALCLID,HARMEFF,ANYALC,GENF,OTH,Age0,AAD,5YEARSAVG
15345,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,Alcohol-attributable deaths,5 years average,27,27.0,,,Harmful Effects,Any Alcohol Use,Overall,Other,50-64,15,CHRONIC,CAT1,ALCLID,HARMEFF,ANYALC,GENALL,OTH,Age4,AAD,5YEARSAVG
15346,2015,2019,HI,Hawaii,ARDI,Chronic,100% Alcohol-Attributable,Alcoholic liver disease,Alcohol-attributable deaths,5 years average,41,41.0,,,Harmful Effects,Any Alcohol Use,Male,Other,Overall,15,CHRONIC,CAT1,ALCLID,HARMEFF,ANYALC,GENM,OTH,Age0,AAD,5YEARSAVG
